sample	run_accession	bioproject	cohort	role
SRR6331821	SRR6331821	PRJNA420417	atherosclerosis	ablation
SRR6331915	SRR6331915	PRJNA420417	atherosclerosis	ablation
SRR6332312	SRR6332312	PRJNA420417	atherosclerosis	ablation
SRR6332355	SRR6332355	PRJNA420417	atherosclerosis	ablation
SRR6332372	SRR6332372	PRJNA420417	atherosclerosis	ablation
SRR6332390	SRR6332390	PRJNA420417	atherosclerosis	ablation
SRR6332410	SRR6332410	PRJNA420417	atherosclerosis	ablation
SRR6332414	SRR6332414	PRJNA420417	atherosclerosis	ablation
SRR6332784	SRR6332784	PRJNA420417	atherosclerosis	ablation
SRR6332816	SRR6332816	PRJNA420417	atherosclerosis	ablation
SRR6332822	SRR6332822	PRJNA420417	atherosclerosis	ablation
SRR6332951	SRR6332951	PRJNA420417	atherosclerosis	ablation
SRR6333096	SRR6333096	PRJNA420417	atherosclerosis	ablation
SRR6335453	SRR6335453	PRJNA420417	atherosclerosis	ablation
SRR6335639	SRR6335639	PRJNA420417	atherosclerosis	ablation
SRR6335702	SRR6335702	PRJNA420417	atherosclerosis	ablation
SRR14642229	SRR14642229	PRJNA732664	coeliac disease	ablation
SRR14642238	SRR14642238	PRJNA732664	coeliac disease	ablation
SRR14642249	SRR14642249	PRJNA732664	coeliac disease	ablation
SRR14642315	SRR14642315	PRJNA732664	coeliac disease	ablation
SRR14642316	SRR14642316	PRJNA732664	coeliac disease	ablation
SRR14642335	SRR14642335	PRJNA732664	coeliac disease	ablation
SRR14642347	SRR14642347	PRJNA732664	coeliac disease	ablation
SRR14642351	SRR14642351	PRJNA732664	coeliac disease	ablation
SRR14642362	SRR14642362	PRJNA732664	coeliac disease	ablation
SRR14642374	SRR14642374	PRJNA732664	coeliac disease	ablation
SRR14642382	SRR14642382	PRJNA732664	coeliac disease	ablation
SRR14642384	SRR14642384	PRJNA732664	coeliac disease	ablation
SRR14642404	SRR14642404	PRJNA732664	coeliac disease	ablation
SRR14642412	SRR14642412	PRJNA732664	coeliac disease	ablation
SRR14642430	SRR14642430	PRJNA732664	coeliac disease	ablation
SRR14642446	SRR14642446	PRJNA732664	coeliac disease	ablation
SRR15885103	SRR15885103	PRJNA763023	colorectal cancer	ablation
SRR15885113	SRR15885113	PRJNA763023	colorectal cancer	ablation
SRR15885179	SRR15885179	PRJNA763023	colorectal cancer	ablation
SRR15885218	SRR15885218	PRJNA763023	colorectal cancer	ablation
SRR15885232	SRR15885232	PRJNA763023	colorectal cancer	ablation
SRR15885253	SRR15885253	PRJNA763023	colorectal cancer	ablation
SRR15885268	SRR15885268	PRJNA763023	colorectal cancer	ablation
SRR15885289	SRR15885289	PRJNA763023	colorectal cancer	ablation
SRR15885303	SRR15885303	PRJNA763023	colorectal cancer	ablation
SRR15885313	SRR15885313	PRJNA763023	colorectal cancer	ablation
SRR15885354	SRR15885354	PRJNA763023	colorectal cancer	ablation
SRR15885373	SRR15885373	PRJNA763023	colorectal cancer	ablation
SRR15885381	SRR15885381	PRJNA763023	colorectal cancer	ablation
SRR15885382	SRR15885382	PRJNA763023	colorectal cancer	ablation
SRR15885406	SRR15885406	PRJNA763023	colorectal cancer	ablation
SRR15885411	SRR15885411	PRJNA763023	colorectal cancer	ablation
Zymo.R1	SRR30894488	PRJNA1084203	ZymoBIOMICS mock community	mock
Zymo.R2	SRR36081850	PRJNA1365733	ZymoBIOMICS mock community	mock
