arm,sample,total_asvs,blast_16s_confirmed,blast_nt_submitted,chimera_pct
baseline,ablacja_PRJNA420417/SRR6331821,76,16,1,0.0
baseline,ablacja_PRJNA420417/SRR6331915,64,20,0,0.0
baseline,ablacja_PRJNA420417/SRR6332312,103,27,1,0.0
baseline,ablacja_PRJNA420417/SRR6332355,147,20,6,0.0
baseline,ablacja_PRJNA420417/SRR6332372,81,26,2,0.0
baseline,ablacja_PRJNA420417/SRR6332390,117,17,1,0.0
baseline,ablacja_PRJNA420417/SRR6332410,79,15,1,0.0
baseline,ablacja_PRJNA420417/SRR6332414,78,16,0,0.0
baseline,ablacja_PRJNA420417/SRR6332784,74,16,2,0.0
baseline,ablacja_PRJNA420417/SRR6332816,117,19,2,0.0
baseline,ablacja_PRJNA420417/SRR6332822,52,20,0,0.0
baseline,ablacja_PRJNA420417/SRR6332951,116,29,0,0.0
baseline,ablacja_PRJNA420417/SRR6333096,177,25,11,0.0
baseline,ablacja_PRJNA420417/SRR6335453,69,17,1,0.0
baseline,ablacja_PRJNA420417/SRR6335639,79,14,2,0.0
baseline,ablacja_PRJNA420417/SRR6335702,47,6,1,0.0
baseline,ablacja_PRJNA732664/SRR14642229,340,28,15,0.0
baseline,ablacja_PRJNA732664/SRR14642238,396,38,37,0.0
baseline,ablacja_PRJNA732664/SRR14642249,226,40,4,0.0
baseline,ablacja_PRJNA732664/SRR14642315,228,39,11,0.0
baseline,ablacja_PRJNA732664/SRR14642316,229,38,8,0.0
baseline,ablacja_PRJNA732664/SRR14642335,309,45,14,0.0
baseline,ablacja_PRJNA732664/SRR14642347,248,30,15,0.0
baseline,ablacja_PRJNA732664/SRR14642351,302,45,32,0.0
baseline,ablacja_PRJNA732664/SRR14642362,311,54,11,0.0
baseline,ablacja_PRJNA732664/SRR14642374,388,54,18,0.0
baseline,ablacja_PRJNA732664/SRR14642382,592,55,25,0.0
baseline,ablacja_PRJNA732664/SRR14642384,356,50,14,0.0
baseline,ablacja_PRJNA732664/SRR14642404,252,30,8,0.0
baseline,ablacja_PRJNA732664/SRR14642412,292,43,18,0.0
baseline,ablacja_PRJNA732664/SRR14642430,256,42,5,0.0
baseline,ablacja_PRJNA732664/SRR14642446,326,30,15,0.0
baseline,ablacja_PRJNA763023/SRR15885103,380,20,31,0.0
baseline,ablacja_PRJNA763023/SRR15885113,108,70,2,0.0
baseline,ablacja_PRJNA763023/SRR15885179,106,27,8,0.0
baseline,ablacja_PRJNA763023/SRR15885218,374,26,28,0.0
baseline,ablacja_PRJNA763023/SRR15885232,134,44,10,0.0
baseline,ablacja_PRJNA763023/SRR15885253,130,17,6,0.0
baseline,ablacja_PRJNA763023/SRR15885268,956,35,127,0.0
baseline,ablacja_PRJNA763023/SRR15885289,184,17,6,0.0
baseline,ablacja_PRJNA763023/SRR15885303,254,44,22,0.0
baseline,ablacja_PRJNA763023/SRR15885313,402,28,23,0.0
baseline,ablacja_PRJNA763023/SRR15885354,506,24,27,0.0
baseline,ablacja_PRJNA763023/SRR15885373,169,37,13,0.0
baseline,ablacja_PRJNA763023/SRR15885381,214,36,16,0.0
baseline,ablacja_PRJNA763023/SRR15885382,272,43,16,0.0
baseline,ablacja_PRJNA763023/SRR15885406,649,85,59,0.0
baseline,ablacja_PRJNA763023/SRR15885411,488,41,37,0.0
F1,ablacja_PRJNA420417/SRR6331821,74,16,1,16.1
F1,ablacja_PRJNA420417/SRR6331915,62,20,0,29.41
F1,ablacja_PRJNA420417/SRR6332312,103,24,1,18.65
F1,ablacja_PRJNA420417/SRR6332355,144,19,6,34.69
F1,ablacja_PRJNA420417/SRR6332372,82,26,2,22.59
F1,ablacja_PRJNA420417/SRR6332390,113,17,1,16.29
F1,ablacja_PRJNA420417/SRR6332410,66,16,1,35.26
F1,ablacja_PRJNA420417/SRR6332414,76,16,0,7.87
F1,ablacja_PRJNA420417/SRR6332784,63,15,2,32.1
F1,ablacja_PRJNA420417/SRR6332816,115,19,2,22.62
F1,ablacja_PRJNA420417/SRR6332822,55,19,0,21.21
F1,ablacja_PRJNA420417/SRR6332951,114,29,0,18.16
F1,ablacja_PRJNA420417/SRR6333096,170,24,11,25.1
F1,ablacja_PRJNA420417/SRR6335453,66,17,1,14.83
F1,ablacja_PRJNA420417/SRR6335639,72,15,2,24.68
F1,ablacja_PRJNA420417/SRR6335702,46,6,1,13.09
F1,ablacja_PRJNA732664/SRR14642229,192,28,3,7.7
F1,ablacja_PRJNA732664/SRR14642238,233,37,18,8.22
F1,ablacja_PRJNA732664/SRR14642249,161,37,1,4.96
F1,ablacja_PRJNA732664/SRR14642315,163,39,7,9.49
F1,ablacja_PRJNA732664/SRR14642316,145,37,4,9.81
F1,ablacja_PRJNA732664/SRR14642335,200,47,5,14.54
F1,ablacja_PRJNA732664/SRR14642347,167,31,4,10.51
F1,ablacja_PRJNA732664/SRR14642351,191,39,10,8.6
F1,ablacja_PRJNA732664/SRR14642362,239,51,5,3.58
F1,ablacja_PRJNA732664/SRR14642374,261,58,9,7.05
F1,ablacja_PRJNA732664/SRR14642382,319,51,11,9.46
F1,ablacja_PRJNA732664/SRR14642384,286,52,11,8.11
F1,ablacja_PRJNA732664/SRR14642404,173,31,4,10.84
F1,ablacja_PRJNA732664/SRR14642412,213,42,11,6.12
F1,ablacja_PRJNA732664/SRR14642430,163,40,4,12.88
F1,ablacja_PRJNA732664/SRR14642446,213,29,7,11.82
F1,ablacja_PRJNA763023/SRR15885103,177,17,7,21.39
F1,ablacja_PRJNA763023/SRR15885113,102,70,2,1.48
F1,ablacja_PRJNA763023/SRR15885179,77,29,5,8.41
F1,ablacja_PRJNA763023/SRR15885218,162,27,3,22.82
F1,ablacja_PRJNA763023/SRR15885232,98,45,6,12.02
F1,ablacja_PRJNA763023/SRR15885253,84,16,2,32.66
F1,ablacja_PRJNA763023/SRR15885268,279,31,12,33.44
F1,ablacja_PRJNA763023/SRR15885289,139,18,4,8.98
F1,ablacja_PRJNA763023/SRR15885303,204,50,13,8.07
F1,ablacja_PRJNA763023/SRR15885313,265,25,12,9.42
F1,ablacja_PRJNA763023/SRR15885354,267,22,15,22.5
F1,ablacja_PRJNA763023/SRR15885373,115,34,2,11.31
F1,ablacja_PRJNA763023/SRR15885381,201,37,16,2.49
F1,ablacja_PRJNA763023/SRR15885382,257,41,16,2.56
F1,ablacja_PRJNA763023/SRR15885406,479,87,35,8.6
F1,ablacja_PRJNA763023/SRR15885411,209,38,12,18.92
F2,ablacja_PRJNA420417/SRR6331821,76,51,2,0.0
F2,ablacja_PRJNA420417/SRR6331915,64,44,1,0.0
F2,ablacja_PRJNA420417/SRR6332312,103,80,2,0.0
F2,ablacja_PRJNA420417/SRR6332355,147,86,2,0.0
F2,ablacja_PRJNA420417/SRR6332372,81,68,1,0.0
F2,ablacja_PRJNA420417/SRR6332390,117,82,1,0.0
F2,ablacja_PRJNA420417/SRR6332410,79,50,0,0.0
F2,ablacja_PRJNA420417/SRR6332414,78,55,0,0.0
F2,ablacja_PRJNA420417/SRR6332784,74,52,1,0.0
F2,ablacja_PRJNA420417/SRR6332816,117,83,1,0.0
F2,ablacja_PRJNA420417/SRR6332822,52,44,0,0.0
F2,ablacja_PRJNA420417/SRR6332951,116,83,2,0.0
F2,ablacja_PRJNA420417/SRR6333096,177,84,7,0.0
F2,ablacja_PRJNA420417/SRR6335453,69,55,1,0.0
F2,ablacja_PRJNA420417/SRR6335639,79,50,1,0.0
F2,ablacja_PRJNA420417/SRR6335702,47,29,0,0.0
F2,ablacja_PRJNA732664/SRR14642229,340,108,6,0.0
F2,ablacja_PRJNA732664/SRR14642238,396,125,8,0.0
F2,ablacja_PRJNA732664/SRR14642249,226,130,1,0.0
F2,ablacja_PRJNA732664/SRR14642315,228,96,6,0.0
F2,ablacja_PRJNA732664/SRR14642316,229,90,7,0.0
F2,ablacja_PRJNA732664/SRR14642335,309,138,3,0.0
F2,ablacja_PRJNA732664/SRR14642347,248,97,7,0.0
F2,ablacja_PRJNA732664/SRR14642351,302,117,6,0.0
F2,ablacja_PRJNA732664/SRR14642362,311,149,3,0.0
F2,ablacja_PRJNA732664/SRR14642374,388,141,13,0.0
F2,ablacja_PRJNA732664/SRR14642382,592,167,12,0.0
F2,ablacja_PRJNA732664/SRR14642384,356,163,8,0.0
F2,ablacja_PRJNA732664/SRR14642404,252,119,4,0.0
F2,ablacja_PRJNA732664/SRR14642412,292,134,5,0.0
F2,ablacja_PRJNA732664/SRR14642430,256,123,5,0.0
F2,ablacja_PRJNA732664/SRR14642446,326,134,4,0.0
F2,ablacja_PRJNA763023/SRR15885103,380,78,10,0.0
F2,ablacja_PRJNA763023/SRR15885113,108,84,0,0.0
F2,ablacja_PRJNA763023/SRR15885179,106,54,1,0.0
F2,ablacja_PRJNA763023/SRR15885218,374,84,4,0.0
F2,ablacja_PRJNA763023/SRR15885232,134,63,5,0.0
F2,ablacja_PRJNA763023/SRR15885253,130,44,2,0.0
F2,ablacja_PRJNA763023/SRR15885268,956,121,26,0.0
F2,ablacja_PRJNA763023/SRR15885289,184,85,5,0.0
F2,ablacja_PRJNA763023/SRR15885303,254,122,11,0.0
F2,ablacja_PRJNA763023/SRR15885313,402,119,7,0.0
F2,ablacja_PRJNA763023/SRR15885354,506,114,10,0.0
F2,ablacja_PRJNA763023/SRR15885373,169,82,3,0.0
F2,ablacja_PRJNA763023/SRR15885381,214,131,11,0.0
F2,ablacja_PRJNA763023/SRR15885382,272,112,3,0.0
F2,ablacja_PRJNA763023/SRR15885406,649,244,25,0.0
F2,ablacja_PRJNA763023/SRR15885411,488,131,9,0.0
F3,ablacja_PRJNA420417/SRR6331821,76,16,1,0.0
F3,ablacja_PRJNA420417/SRR6331915,64,20,0,0.0
F3,ablacja_PRJNA420417/SRR6332312,103,27,1,0.0
F3,ablacja_PRJNA420417/SRR6332355,147,20,6,0.0
F3,ablacja_PRJNA420417/SRR6332372,81,26,2,0.0
F3,ablacja_PRJNA420417/SRR6332390,117,17,1,0.0
F3,ablacja_PRJNA420417/SRR6332410,79,15,1,0.0
F3,ablacja_PRJNA420417/SRR6332414,78,16,0,0.0
F3,ablacja_PRJNA420417/SRR6332784,74,16,2,0.0
F3,ablacja_PRJNA420417/SRR6332816,117,19,2,0.0
F3,ablacja_PRJNA420417/SRR6332822,52,20,0,0.0
F3,ablacja_PRJNA420417/SRR6332951,116,29,0,0.0
F3,ablacja_PRJNA420417/SRR6333096,177,25,11,0.0
F3,ablacja_PRJNA420417/SRR6335453,69,17,1,0.0
F3,ablacja_PRJNA420417/SRR6335639,79,14,2,0.0
F3,ablacja_PRJNA420417/SRR6335702,47,6,1,0.0
F3,ablacja_PRJNA732664/SRR14642229,340,28,15,0.0
F3,ablacja_PRJNA732664/SRR14642238,396,38,37,0.0
F3,ablacja_PRJNA732664/SRR14642249,226,40,4,0.0
F3,ablacja_PRJNA732664/SRR14642315,228,39,11,0.0
F3,ablacja_PRJNA732664/SRR14642316,229,38,8,0.0
F3,ablacja_PRJNA732664/SRR14642335,309,45,14,0.0
F3,ablacja_PRJNA732664/SRR14642347,248,30,15,0.0
F3,ablacja_PRJNA732664/SRR14642351,302,45,32,0.0
F3,ablacja_PRJNA732664/SRR14642362,311,54,11,0.0
F3,ablacja_PRJNA732664/SRR14642374,388,54,18,0.0
F3,ablacja_PRJNA732664/SRR14642382,592,55,25,0.0
F3,ablacja_PRJNA732664/SRR14642384,356,50,14,0.0
F3,ablacja_PRJNA732664/SRR14642404,252,30,8,0.0
F3,ablacja_PRJNA732664/SRR14642412,292,43,18,0.0
F3,ablacja_PRJNA732664/SRR14642430,256,42,5,0.0
F3,ablacja_PRJNA732664/SRR14642446,326,30,15,0.0
F3,ablacja_PRJNA763023/SRR15885103,380,20,31,0.0
F3,ablacja_PRJNA763023/SRR15885113,108,70,2,0.0
F3,ablacja_PRJNA763023/SRR15885179,106,27,8,0.0
F3,ablacja_PRJNA763023/SRR15885218,374,26,28,0.0
F3,ablacja_PRJNA763023/SRR15885232,134,44,10,0.0
F3,ablacja_PRJNA763023/SRR15885253,130,17,6,0.0
F3,ablacja_PRJNA763023/SRR15885268,956,35,127,0.0
F3,ablacja_PRJNA763023/SRR15885289,184,17,6,0.0
F3,ablacja_PRJNA763023/SRR15885303,254,44,22,0.0
F3,ablacja_PRJNA763023/SRR15885313,402,28,23,0.0
